# Post-processed analysis
# Series A : HP 34401A  GPIB 0  NPLC 1
# Series B : HP 34401A  GPIB 1  NPLC 1
# Generated: 2026-03-21_16-06-30_Multi_Analyzed
# Points   : 41
Timestamp,Value_A,Value_B,Delta,Delta_uV,Delta_Ms,Rolling_Mean_Delta,Rolling_StdDev_Delta
2026-03-21 16:06:36.663,5.0297693,5.0296675,0.0001018,101.800,0.0,0.0001018,0
2026-03-21 16:06:39.249,5.0297435,5.029641,0.0001025,102.500,2586.0,0.00010215,3.5E-07
2026-03-21 16:06:41.842,5.0297564,5.0296543,0.0001021,102.100,2593.0,0.00010213333,2.8674418E-07
2026-03-21 16:06:44.443,5.0297435,5.0296808,6.27E-05,62.700,2601.0,9.2275E-05,1.707694E-05
2026-03-21 16:06:47.042,5.0297564,5.0296543,0.0001021,102.100,2599.0,9.424E-05,1.5771569E-05
2026-03-21 16:06:49.637,5.0297564,5.0296543,0.0001021,102.100,2595.0,9.555E-05,1.4692373E-05
2026-03-21 16:06:52.215,5.0297564,5.0296808,7.56E-05,75.600,2578.0,9.27E-05,1.5289305E-05
2026-03-21 16:06:54.809,5.0297435,5.0296808,6.27E-05,62.700,2594.0,8.895E-05,1.7406321E-05
2026-03-21 16:06:57.400,5.0297435,5.0296808,6.27E-05,62.700,2591.0,8.6033333E-05,1.8367665E-05
2026-03-21 16:06:59.999,5.0297693,5.0296543,0.000115,115.000,2599.0,8.893E-05,1.9471777E-05
2026-03-21 16:07:02.590,5.0297564,5.0296543,0.0001021,102.100,2591.0,9.0127273E-05,1.8947731E-05
2026-03-21 16:07:05.171,5.0297564,5.0296808,7.56E-05,75.600,2581.0,8.8916667E-05,1.8580089E-05
2026-03-21 16:07:07.762,5.0297564,5.0296808,7.56E-05,75.600,2591.0,8.7892308E-05,1.8200442E-05
2026-03-21 16:07:10.343,5.0297693,5.0298931,-0.0001238,-123.800,2581.0,7.2771429E-05,5.7270654E-05
2026-03-21 16:07:12.938,5.0302598,5.0299064,0.0003534,353.400,2595.0,9.148E-05,8.9226761E-05
2026-03-21 16:07:15.537,5.0297564,5.0298268,-7.04E-05,-70.400,2599.0,8.13625E-05,9.4864554E-05
2026-03-21 16:07:18.114,5.0297822,5.0297074,7.48E-05,74.800,2577.0,8.0976471E-05,9.2045088E-05
2026-03-21 16:07:20.704,5.0298209,5.0296808,0.0001401,140.100,2590.0,8.4261111E-05,9.0471132E-05
2026-03-21 16:07:23.295,5.0297564,5.0296808,7.56E-05,75.600,2591.0,8.3805263E-05,8.8079369E-05
2026-03-21 16:07:25.882,5.0297693,5.0296675,0.0001018,101.800,2587.0,8.4705E-05,8.5938684E-05
2026-03-21 16:07:28.464,5.0297564,5.0296543,0.0001021,102.100,2582.0,8.5533333E-05,8.394934E-05
2026-03-21 16:07:31.063,5.0297564,5.0296675,8.89E-05,88.900,2599.0,8.5686364E-05,8.202221E-05
2026-03-21 16:07:33.658,5.0297564,5.0296675,8.89E-05,88.900,2595.0,8.5826087E-05,8.0221981E-05
2026-03-21 16:07:36.236,5.0297564,5.0296941,6.23E-05,62.300,2578.0,8.4845833E-05,7.8673492E-05
2026-03-21 16:07:38.814,5.0297564,5.0297074,4.9E-05,49.000,2578.0,8.3412E-05,7.740335E-05
2026-03-21 16:07:41.397,5.0297693,5.0296675,0.0001018,101.800,2583.0,8.4119231E-05,7.5982559E-05
2026-03-21 16:07:43.979,5.0297693,5.0296675,0.0001018,101.800,2582.0,8.4774074E-05,7.4636927E-05
2026-03-21 16:07:46.579,5.0297693,5.0296675,0.0001018,101.800,2600.0,8.5382143E-05,7.3360081E-05
2026-03-21 16:07:49.168,5.0297564,5.0296675,8.89E-05,88.900,2589.0,8.5503448E-05,7.2087014E-05
2026-03-21 16:07:51.764,5.0297822,5.0296808,0.0001014,101.400,2596.0,8.6033333E-05,7.0932801E-05
2026-03-21 16:07:54.363,5.0297564,5.0296543,0.0001021,102.100,2599.0,8.6551613E-05,6.9837063E-05
2026-03-21 16:07:56.954,5.0297693,5.0296675,0.0001018,101.800,2591.0,8.7028125E-05,6.8788381E-05
2026-03-21 16:07:59.548,5.0297564,5.0296675,8.89E-05,88.900,2594.0,8.7084848E-05,6.7738875E-05
2026-03-21 16:08:02.136,5.0297564,5.0296808,7.56E-05,75.600,2588.0,8.6747059E-05,6.6763486E-05
2026-03-21 16:08:04.733,5.0297693,5.0296808,8.85E-05,88.500,2597.0,8.6797143E-05,6.5803458E-05
2026-03-21 16:08:07.330,5.0297564,5.0296675,8.89E-05,88.900,2597.0,8.6855556E-05,6.4884005E-05
2026-03-21 16:08:09.929,5.0297693,5.0296543,0.000115,115.000,2599.0,8.7616216E-05,6.4163712E-05
2026-03-21 16:08:12.510,5.0297564,5.0296543,0.0001021,102.100,2581.0,8.7997368E-05,6.3356259E-05
2026-03-21 16:08:15.098,5.0297564,5.0296941,6.23E-05,62.300,2588.0,8.7338462E-05,6.2670488E-05
2026-03-21 16:08:17.695,5.0297693,5.0296675,0.0001018,101.800,2597.0,8.77E-05,6.1923324E-05
2026-03-21 16:08:20.278,5.0297564,5.0296808,7.56E-05,75.600,2583.0,8.7404878E-05,6.1191973E-05
